Symbol,Name,Sector,Score
WAB,Wabtec Corporation,Industrials,0.22132415877453165
WDC,Western Digital,Information Technology,0.3793861632228543
PEP,PepsiCo Inc.,Consumer Staples,0.5681531894891049
FANG,Diamondback Energy,Energy,0.22989376347149032
MXIM,Maxim Integrated Products Inc,Information Technology,0.1767689567242745
NOW,ServiceNow,Information Technology,0.1479043930223412
CHD,Church & Dwight,Consumer Staples,0.09315533437474195
DRE,Duke Realty Corp,Real Estate,0.25067912726546265
FRT,Federal Realty Investment Trust,Real Estate,0.2336356098035833
MGM,MGM Resorts International,Consumer Discretionary,0.13485185046749237
JBHT,J. B. Hunt Transport Services,Industrials,0.17273648061755184
LRCX,Lam Research,Information Technology,0.10001848589607373
MHK,Mohawk Industries,Consumer Discretionary,0.11952932839211763
PNR,Pentair plc,Industrials,0.2609178861719419
VRTX,Vertex Pharmaceuticals Inc,Health Care,0.07495173805940136
AMCR,Amcor plc,Materials,0.4962656330917608
FB,Facebook Inc.,Communication Services,0.21528059774695582
TMUS,T-Mobile US,Communication Services,0.4147478583536689
URI,United Rentals Inc.,Industrials,0.14645160069814556
ABMD,ABIOMED Inc,Health Care,0.05503550950862967
ARE,Alexandria Real Estate Equities,Real Estate,0.18630158812508196
DAL,Delta Air Lines Inc.,Industrials,0.19844231060058556
UAL,United Airlines Holdings,Industrials,0.3683954276294434
NWS,News Corp. Class B,Communication Services,0.5639836248179713
CNC,Centene Corporation,Health Care,0.24770478493610465
MLM,Martin Marietta Materials,Materials,0.1285104400833793
PYPL,PayPal,Information Technology,0.2748134590721199
DISH,Dish Network,Communication Services,0.2697767275507776
DOW,Dow Inc.,Materials,0.5648351161936301
ALXN,Alexion Pharmaceuticals,Health Care,0.129055611117494
RE,Everest Re Group Ltd.,Financials,0.19777633200362554
TDY,Teledyne Technologies,Industrials,0.11339729415776073
NWSA,News Corp. Class A,Communication Services,0.5635306173238586
EXC,Exelon Corp.,Utilities,0.6227478211984796
GPN,Global Payments Inc.,Information Technology,0.18575575673762132
CCI,Crown Castle International Corp.,Real Estate,0.16448706458124346
APTV,Aptiv PLC,Consumer Discretionary,0.37062388916203737
AAP,Advance Auto Parts,Consumer Discretionary,0.13443588682361182
ALGN,Align Technology,Health Care,0.08664403866332529
ILMN,Illumina Inc,Health Care,0.15046395354510397
LKQ,LKQ Corporation,Consumer Discretionary,0.22320072069881364
NLSN,Nielsen Holdings,Industrials,0.4057146958990641
GRMN,Garmin Ltd.,Consumer Discretionary,0.18773645154421376
ZTS,Zoetis,Health Care,0.2450629744090171
EQIX,Equinix,Real Estate,0.15020391982347814
DLR,Digital Realty Trust Inc,Real Estate,0.18629722085918993
LVS,Las Vegas Sands,Consumer Discretionary,0.34235576224400627
DISCK,Discovery Inc. (Class C),Communication Services,0.3146050287842429
